timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
1493,6,172.16.133.55,57079,96.43.146.22,443
1514,17,172.16.133.6,65481,8.8.8.8,53
1516,6,172.16.133.118,56698,107.22.210.163,5222
1518,6,172.16.133.26,53039,67.217.64.100,443
1525,6,172.16.133.37,60482,216.219.115.183,443
1529,6,172.16.133.37,60484,216.219.115.160,443
1529,6,172.16.133.56,56237,208.92.54.5,80
1529,6,172.16.133.90,51477,69.132.122.65,49560
1538,6,172.16.133.60,62040,67.217.64.54,443
1539,6,172.16.133.53,53645,67.217.64.54,443
1543,6,172.16.133.56,60854,67.217.64.97,443
1546,6,172.16.133.24,57665,204.232.250.57,443
1546,6,172.16.133.114,55271,67.217.64.54,443
1560,6,172.16.133.20,62288,216.219.115.250,443
1561,17,172.16.133.82,43481,193.13.103.144,18608
1561,17,172.16.133.82,43481,219.74.244.2,14103
1569,6,172.16.133.20,60694,96.43.146.22,443
1572,6,172.16.133.132,52338,98.139.240.23,80
1573,6,172.16.133.20,62289,67.217.66.244,443
1577,6,172.16.133.109,49454,96.43.146.22,443
1577,6,172.16.133.109,49455,96.43.146.22,443
1594,6,172.16.133.53,59079,157.56.234.118,443
1603,6,172.16.133.20,62290,68.64.30.250,443
1607,6,172.16.133.96,52662,184.73.235.12,5222
1622,6,172.16.133.76,62352,74.125.226.201,443
1623,6,172.16.133.57,60586,157.56.242.198,443
1623,6,172.16.133.20,62291,68.64.13.250,443
1623,6,172.16.133.85,60806,132.245.1.150,443
1624,6,172.16.133.82,61247,96.43.146.50,443
1637,6,172.16.133.78,58880,169.233.51.66,46939
1670,6,172.16.133.85,60808,132.245.1.150,443
1671,6,172.16.133.36,65071,216.219.118.244,443
1671,6,172.16.133.36,65070,78.108.118.250,443
1673,6,172.16.133.36,64909,216.115.208.199,443
1678,6,172.16.133.37,60485,216.115.216.31,443
1678,6,172.16.133.37,60487,216.219.115.183,443
1678,6,172.16.133.37,60488,216.115.217.225,443
1678,6,172.16.133.37,60483,64.74.80.244,443
1682,6,172.16.133.50,50683,64.56.203.22,443
1682,6,172.16.133.53,53648,67.217.66.49,443
1682,6,172.16.133.53,53644,67.217.65.49,443
1682,6,172.16.133.53,53647,67.217.64.49,443
1682,6,172.16.133.50,50684,64.56.203.22,443
1683,6,172.16.133.50,50685,96.43.146.50,443
1686,6,172.16.133.207,49658,157.56.245.198,443
1696,6,172.16.133.82,61251,64.56.203.22,443
1696,6,172.16.133.45,61060,157.55.130.158,40031
1697,6,172.16.133.82,61250,64.56.203.22,443
1697,6,172.16.133.41,52378,23.60.230.152,80
1699,6,172.16.133.82,61252,64.56.203.22,443
1713,6,172.16.133.25,59900,129.64.197.158,57824
1713,6,172.16.133.87,65355,184.73.235.12,5222
1722,6,172.16.133.57,60589,157.56.242.198,443
1722,6,172.16.133.82,61258,74.125.226.222,443
1727,6,172.16.133.41,52377,23.60.230.152,80
1734,6,172.16.133.132,38645,98.139.134.187,80
1748,6,172.16.133.40,64710,96.43.146.22,443
1759,6,172.16.133.33,57580,216.52.242.80,80
1773,6,172.16.133.114,55272,67.217.64.49,443
1774,6,172.16.133.114,55273,67.217.66.49,443
1774,6,172.16.133.114,55270,67.217.65.49,443
1775,6,172.16.133.37,59832,157.56.234.118,443
1778,6,172.16.133.82,61261,204.232.250.57,443
1778,6,172.16.133.41,52423,74.125.226.77,80
1791,6,172.16.133.50,50638,96.43.146.176,443
1810,6,172.16.133.68,59408,96.43.146.176,443
1812,6,172.16.133.47,56541,96.43.146.48,443
1820,6,172.16.133.63,53725,107.22.18.198,443
1828,6,172.16.133.63,49368,157.56.232.214,443
1840,17,172.16.133.36,57478,68.64.28.24,8200
1841,6,172.16.133.68,60558,96.43.146.48,443
1842,6,172.16.133.24,57633,23.20.10.203,443
1842,6,172.16.133.99,51687,216.115.217.144,443
1842,6,172.16.133.99,51683,64.74.80.15,443
1842,6,172.16.133.99,51685,216.115.216.44,443
1842,6,172.16.133.99,51686,216.219.115.17,443
1845,6,172.16.133.68,60557,96.43.146.48,443
1853,6,172.16.133.132,50415,76.13.6.174,80
1859,6,172.16.133.132,54630,98.139.161.29,80
1889,6,172.16.133.26,53072,107.20.103.220,443
1895,6,172.16.133.36,64957,68.64.28.20,443
1901,6,172.16.133.50,50686,96.43.146.48,443
1901,6,172.16.133.50,50687,96.43.146.48,443
1902,17,172.16.133.6,51363,8.8.8.8,53
1907,6,172.16.133.36,64517,54.243.254.190,443
1921,17,172.16.133.34,57033,239.255.255.250,1900
1923,6,172.16.133.44,50452,96.43.146.48,443
1930,6,172.16.133.132,44320,98.138.19.88,80
1933,6,172.16.133.163,3472,173.194.43.38,443
1938,6,172.16.133.78,58444,63.116.244.160,80
1940,6,172.16.133.132,52343,98.139.240.23,80
1940,6,172.16.133.39,64160,216.115.101.178,80
1946,6,172.16.133.26,53041,67.217.66.99,443
1946,6,172.16.133.26,53038,67.217.65.99,443
1946,6,172.16.133.26,53040,67.217.64.99,443
1952,6,172.16.133.207,55648,67.217.64.54,443
1952,6,172.16.133.207,55649,67.217.66.54,443
1952,6,172.16.133.207,55646,67.217.65.54,443
1960,6,172.16.133.78,58867,199.94.91.63,12192
1966,6,172.16.133.50,50688,96.43.146.22,443
1966,6,172.16.133.50,50689,96.43.146.22,443
1967,6,172.16.133.50,50690,96.43.146.22,443
1988,6,172.16.133.78,58886,38.124.22.82,36043
2001,17,172.16.133.56,49514,68.64.21.42,1853
2005,6,172.16.133.85,51699,216.115.216.31,443
2005,6,172.16.133.85,51700,216.219.115.183,443
2005,6,172.16.133.85,51701,216.115.217.225,443
2005,17,172.16.133.49,58246,68.64.21.41,1853
2006,6,172.16.133.85,51696,64.74.80.244,443
2012,6,172.16.133.49,54984,67.217.64.65,443
2013,6,172.16.133.49,54985,67.217.66.65,443
2013,6,172.16.133.49,54982,67.217.65.65,443
2015,17,172.16.133.99,56566,67.217.78.32,1853
2017,17,172.16.133.57,53807,68.64.21.62,1853
2025,6,172.16.133.53,53776,96.43.146.22,443
2025,17,172.16.133.47,51444,68.64.21.45,1853
2026,17,172.16.133.118,56495,68.64.21.45,1853
2029,6,172.16.133.53,53775,96.43.146.22,443
2029,6,172.16.133.53,53772,96.43.146.22,443
